08月28日 20:40	YANZiKAii	妈的怎么全是昆山海龙哥？佛了 ​
08月29日 12:05	看相玄子	昨天看到了昆山龙哥的视频，身上纹了一条龙，很多年轻人喜欢纹身，觉得纹身非常炫酷，有个性。我们今天说一下纹身好不好，对个人运势有什么影响呢？1 、动物不宜纹身动物看着比较凶猛，尤其是龙湖龟雀这些动物，风水中成为四象，就是我们常说的青龙，白虎，朱雀，玄武。这些动物的气场特别强 ​ 展开全文c
08月29日 12:05	魏明哲-l	龙哥被爆装备后撒娇“学猫叫”#追砍电动车主遭反杀##昆山龙哥# O网页链接 ​
08月29日 12:04	C科技	昆山纹身男刘海龙生平事迹： 2001年7月，因犯盗窃罪被北京市东城区人民法院判处有期徒刑四年六个月；2006年9月7日，因打架被江苏省昆山市公安局处行政拘留五日；2007年3月，因犯敲诈勒索罪被江苏省昆山市人民法院院判处有期徒刑九个月；2009年5月11日，因犯故意毁坏财物罪被江苏省昆山市人民法 ​ 展开全文c
08月29日 12:04	bundy2011	『转载：回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！_但斌』O网页链接 ​
08月29日 12:03	圣僧来问我	一个甘肃来昆山的渣渣，在昆山混得如鱼得水，又是带刀又是酒驾，又是带着团伙四处寻衅滋事，这种状况一定是这地方的政府置中央打黑除恶指示于不顾所致。不是替上海吹嘘，这些昆山渣渣要是在上海，根本就混不下去，早就被团灭了。在上海，不敢说谁的车里没藏刀，但象龙哥这样喝醉酒舞着大刀就杀上街头的 ​ 展开全文c
08月29日 12:02	齐鲁新闻视角	#昆山震川路砍人# 【昆山震川路拿砍刀砍人反被砍死的宝马车主刘海龙履历】1982年生人，殁年36岁在网上找到他的“辉煌”履历：2001年7月因犯盗窃罪被北京市东城区人民法院判处有期徒刑四年六个月；2006年9月7日因打架被昆山市GA局处行政拘留五日；2007年3月因犯敲诈勒索罪被判处有期徒刑九个月 ​ 展开全文c
08月29日 12:01	吐槽曝料	昆山你龙哥，个矮纹身多，装逼刀滑落，被砍一百多 。网评:活逼该。总结:纹身不纹嗜血狼，独狼带血家必亡。纹身不纹下山虎，猛虎下山反噬主。纹身不纹睁眼关，睁眼关公杀人间。纹身不纹唐三藏，九九八一难相抗。纹身不纹小哪吒，龙遇哪吒命丧涯。纹身不纹老钟馗，避鬼不成反招贼。要纹就纹喜羊羊，眼睛 ​ 展开全文c
08月29日 14:59	刘体乾	电动车主是正当防卫还是防卫过当，需要进一步审理。但从民众感情角度讲，那可就是恩怨气息弥漫了。希望大家理解法律规定，也要相信法庭会在公正判决的前提下考虑案件特殊性和判决结果的社会影响。毕竟法律是维护社会秩序的，请大家相信法律。#追砍电动车主遭反杀##昆山震川路砍人##昆山龙哥# ​​​​
08月29日 14:59	实白露	#昆山龙哥##昆山龙哥被反杀# 如何看待昆山震川路龙哥砍人被反杀事件？被砍男子行为算正当防卫吗？ - 回答作者: 潘神经 O网页链接 (想看更多？下载 @知乎 App：知乎 )点评：我国 ​ 展开全文c
08月29日 14:58	郑州大板子	崔老师你觉得这个 昆山刘海龙事件 。你怎么看@崔永元 ​
08月29日 14:56	石扉客2018	哈尔滨烧死20位北京市民，怎么看都是一桩极惊悚与沉痛的新闻。但坊间波澜不惊，这篇报道也是语焉不详，受众更乐于关心昆山社会龙哥。太阳岛这20位老人的命运，和几年前葬身长江的四百多个老人一样，属于这个惊惶时代里沉舟侧畔的陪葬品。O网页链接 ​
08月29日 14:56	岱岳检察	【昆山砍人不成反被杀男子确曾获见义勇为证书：因举报有人贩毒】8月27日，昆山发生一起持刀砍人案件。同时，网上爆出首先持刀的纹身男子即被害人刘海龙有犯罪前科，还在今年荣获见义勇为证书一事，引发网友质疑。对此，8月29日，昆山市见义勇为基金会发布了情况说明：刘海龙曾举报有人贩毒的线索，警方 ​ 展开全文c
08月29日 14:56	头条新闻	【昆山被砍男子疑因盗窃敲诈曾多次入狱 警方：正在调查中】27日，江苏昆山宝马男#追砍电动车主遭反杀#。多名网友称被砍男子为“在昆山合丰混的龙哥”，全名为刘某龙，甘肃镇原县人。记者调查发现刘某龙曾有多次犯罪被抓记录。@昆山公安 称，目前具体情况仍在调查中。@时间视频 L时间视频的秒拍视频 ​
08月29日 14:55	中捷司法	#小司关注# 【昆山砍人不成反被杀男子确曾获见义勇为证书：因举报有人贩毒】8月27日，昆山发生一起持刀砍人案件。同时，网上爆出首先持刀的纹身男子即被害人刘海龙有犯罪前科，还在今年荣获见义勇为证书一事，引发网友质疑。对此，8月29日，昆山市见义勇为基金会发布了情况说明：刘海龙曾举报有 ​ 展开全文c
08月29日 14:55	行摄香港	【昆山龙哥用什么刀法砍人？他曾举报别人贩毒获500元现金奖励！】“五进宫”文身宝马“大佬”刘海龙，外号龙哥、光头，曾蹲监十年，生前还练过拳脚功夫，有两刷子，只是不擅长刀法，最后“翘辫子”。 O昆山龙哥用什么刀法砍人？曾举报他人贩毒获奖500块大洋！ ​
08月29日 14:50	石家庄帮忙	#追砍电动车主反被杀#【昆山被砍男子疑因盗窃敲诈曾多次入狱 警方：正在调查中】8月27日，江苏昆山轿车内男子刀砍电动车主，反被电动车主追着连砍数刀身亡。多名网友称被砍男子为“在昆山合丰混的龙哥”，全名为刘某龙，甘肃镇原县人。记者调查发现刘某龙曾有多次犯罪被抓记录。@昆山公安 称，目前具体 ​ 展开全文c
08月29日 14:50	不如现在就开车上路	如何看待昆山震川路龙哥砍人被反杀事件？被砍男子行为算正当防卫吗？ - 回答作者：小镇电话 O网页链接（想看更多？下载 @知乎 App：知乎） ​
08月29日 14:47	耳听是虚眼见为实	昆山龙哥刘海龙资料生平哪里人 昆山街头砍人案事件始末快手天安社纹身哥“辉煌”历史战绩 O昆山龙哥刘海龙资料生平哪里人 昆山街头砍人案事件始末快手天安社纹身哥“辉煌”历史战绩 ​
08月29日 14:46	gg王传民	哈哈哈 大家好(昆山市见义勇为基金会：网上晒出刘海龙有犯罪前科，但目前省、市基金会奖励条款里也都未有明确犯罪前科人员不能申报见义勇为，3月份刘海龙为警方提供重要破案线索，协助抓获贩毒嫌疑人是事实。对于8月27日刘海龙事件，昆山市见义勇为基金会深表遗憾。) 这样的人都能得见义勇为 我真为他 ​ 展开全文c
08月29日 14:46	趣点	#昆山震川路砍人# 龙哥死于文化差异@全球第一恶搞 @哔哩哔哩弹幕网 @董郎行 2昆明 · 大商汇 ​
08月29日 14:46	法制日报	#新闻追踪#【昆山街头砍人案死者曾获见义勇为证书？ 昆山市见义勇为基金会：因举报有人贩毒】27日21时许，江苏昆山，宝马车主刘海龙与一电动车主发生争执。刘海龙从车上拿出刀对电动车主进行挥砍。不料刀不慎掉落被电动车主捡起反将宝马车主砍杀。公安随后通报此案件。随后，有网帖提及网上爆出首先持 ​ 展开全文c
08月29日 14:43	悠闲的临江君	刘海龙 1982年生人，殁年36岁在网上找到他的“辉煌”履历：2001年7月因犯盗窃罪被北京市东城区人民法院判处有期徒刑四年六个月；2006年9月7日因打架被昆山市GA局处行政拘留五日；2007年3月因犯敲诈勒索罪被本院判处有期徒刑九个月；2009年5月11日因犯故意毁坏财物罪被本院判处有期徒刑三年， ​ 展开全文c
08月29日 14:43	郑州人民广播电台	【昆山砍人不成反被杀男子确曾获见义勇为证书：因举报有人贩毒】8月27日，昆山发生一起持刀砍人案件。同时，网上爆出首先持刀的纹身男子即被害人刘海龙有犯罪前科，还在今年荣获见义勇为证书一事，引发网友质疑。对此，8月29日，昆山市见义勇为基金会发布了情况说明：刘海龙曾举报有人贩毒的线索，警方 ​ 展开全文c
08月29日 14:42	股海十一少	昆山龙哥的底细被扒出来了, 龙哥的全名儿叫刘海龙,祖籍是甘肃.进监狱常事!!! ​
08月29日 14:42	楚人-项羽	不能，昆山，龙哥，了解一下 纹身真的能起到护身的作用吗? ​
08月29日 14:42	追龙的小散	回顾昆山龙哥被砍死之前的18年，你就没见过如此的人渣！ 死有余辜『天下美食出北京』O¡¾天下美食出北京¡¿ 看今天这篇文章的时候，大家不要问我龙哥是谁，相信只要会使用手机，会上网的朋友都应该看了龙哥被砍死的视频，不管你看完笑没笑，龙哥真的是死了。龙哥的生命停止在2018年的8月27日，如果实在不知道的请自己百度昆山龙哥。然而27号... ​
08月29日 14:41	森灵迷了鹿	网上看到的，还兄弟义字当头，从另查明那段看协助抓获其他嫌疑人，典型的卖马贼嘛，都被点水了还称兄道弟，不是很懂贵社会的路数，龙哥也是奇迹，我刷微博那么久龙哥是第一个，人走第二天就出漫画版，人人拍手叫好的的死者……#追砍电动车主遭反杀##昆山龙哥# ​
08月29日 14:40	搜狐新闻客户端	【昆山砍人不成反被杀男子确曾获见义勇为证书：因举报有人贩毒】8月27日，昆山发生一起持刀砍人案件。同时，网上爆出首先持刀的纹身男子即被害人刘海龙有犯罪前科，还在今年荣获见义勇为证书一事，引发网友质疑。对此，8月29日，昆山市见义勇为基金会发布了情况说明：刘海龙曾举报有人贩毒的线索，警方 ​ 展开全文c
08月29日 14:39	天水播报	#同城爆料#【昆山被砍男子疑因盗窃敲诈曾多次入狱 警方：正在调查中】8月27日，江苏昆山轿车内男子刀砍电动车主，反被电动车主追着连砍数刀身亡。多名网友称被砍男子为“在昆山合丰混的龙哥”，全名为刘某龙，甘肃镇原县人。记者调查发现刘某龙曾有多次犯罪被抓记录。@昆山公安 称，目前具体情况仍在调 ​ 展开全文c
08月29日 14:39	南朝历史周刊	昆山龙哥的事情还用调查吗？用脚指头都能想到结果：电车男防卫过当，判处十年以上至少 ​
08月29日 14:39	-公元1874-	昆山砍人这事，其实正好是考验大家对逻辑、社会、乃至法律的一道综合题。主角1.死者龙哥，多次判刑入狱，刑满释放人员。但也曾见义勇为，做过好事。2.单车男，40多岁，身份不详。事情经过昆山，夜，十字路口，红灯。机动车道前有大巴。宝马车等不及，想从非机动车道右拐。非机动车道上有正 ​ 展开全文c
08月29日 14:39	知面识人	昆山龙哥前后几进宫坐了10年的牢，开着宝马，你努力工作了10年，开上宝马了吗？ ​
08月29日 14:38	机智的学长J	死者外号，昆山龙哥，全名刘海龙，黑社会天安社成员，曾因寻衅滋事故意伤人被判入狱四年，电动车车主，如果不能受到保护的话，他和他家人的生命都会受到威胁的 #电动车反杀是否为正当防卫#此案件应该如何定性，杀人者要判刑吗？ ​
08月29日 16:59	Fenng	替精英们脸红 跟昆山龙哥小弟也区别不大 ​
08月29日 16:59	记者谈春平	#老谈说事# 【昆山被砍男子疑因盗窃敲诈曾多次入狱 警方：正在调查中】27日，江苏昆山宝马男追砍电动车主遭反杀。多名网友称被砍男子为“在昆山合丰混的龙哥”，全名为刘某龙，甘肃镇原县人。记者调查发现刘某龙曾有多次犯罪被抓记录。@昆山公安 称，目前具体情况仍在调查中。 L时间视频的秒拍视频 ​
08月29日 16:58	唐山检察	【昆山街头砍人案最新正面视频曝光！死者疑有犯罪前科，还曾获见义勇为证书】8月27日晚，江苏昆山市震川路发生一起持刀砍人案件，引起社会广泛关注。随后，有网帖提及，事故中死亡的刘某某曾于今年3月获昆山市见义勇为基金会颁发证书。同时，网上爆出首先持刀的纹身男子即被害人刘海龙有犯罪前科，引发 ​ 展开全文c
08月29日 16:57	柴野sicca	说起黑社会，中国人你都玩的没日本人玩的好！日本黑社会是合法的，经常帮警察破案。你昆山龙哥是出来逗比的。 2张掖 · 滨河新区 ​
08月29日 16:56	Kevin-lyl	昆山我龙哥 ​
08月29日 16:55	导演老伍	很好奇在不同的价值体系下，昆山电动车男会受到什么判决。#昆山 刘海龙##追砍电动车主遭反杀# L猎奇放映厅的秒拍视频 ​
08月29日 16:54	用户6372076054	《回顾昆山龙哥被砍死之前的18年，你就没见过如此劣迹斑斑的人！》龙哥今年36岁，由于我的算术能力不太好，我他妈推算了半天才想明白他应该是1982年生人。O网页链接 ​
08月29日 16:53	怕死的公民	这样的人渣混的比大多数老百姓都好，是对谁的嘲笑呢？『回顾昆山龙哥被砍死之前的18年, 你就没见过如此的人渣!』O网页链接 ​
