2013年01月05日 00:58	萧阅心	新闻人物：真实袁厉害(图) O网页链接 @搜狐新闻客户端。 望世间多些像袁这样的爱心人士！ ​
2013年01月05日 08:53	殷勤活宝	【兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事】他们没有确切的年龄，没有像样的名字，甚至还没有起名字。7个小生命逝去，心又痛了一次！谁该为这些孩子的生命负责？ O兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事_资讯频道_凤凰网 那政府为何不收养呢,这本是政府的责职.一个平民收养这么多孩子,要养活他们不向政府提要求那向谁提? ​
2013年01月05日 08:53	逆天苦行僧	黑的？白的？ 黑白任你说！兰考官方：未救助弃婴因无强制执法权. 记者询问了四五个袁厉害的邻居，大家对她评价都很好，“人很质朴、善良”，“好人”，“说话带笑，和气”。而她的亲属则表示，不理解她的所作所为，但如果她需要帮助，大家都会帮她照顾孩子。 O兰考官方：未救助弃婴因无强制执法权_资讯频道_凤凰网 ​
2013年01月05日 08:53	jonnyfung	[兰考起火收养所创办人被警方控制] 4日火灾事件中死伤儿童所在的收养所创办人袁厉害已经被控制，并接受警方讯问调查。此次火灾共造成7死1伤，目前伤者已被转院治疗。民政局有关人员介绍，根据收养法规定，袁厉害并不具备收养资格。 说什么好呢，民政局具备资格，可他们不收 ​
2013年01月05日 08:52	中国钓鱼岛报	【兰考民政局称袁厉害不具备收养资格 系非法收养】据了解，袁厉害从1996年至今，20多年间收养了100多个被父母遗弃的婴儿，这些婴儿大都身有先天性的残疾，都要靠袁厉害一个人打零工、摆地摊抚养。如今，她收养的孩子大的结婚工作离开了，小的孩 O兰考民政局称袁厉害不具备收养资格 系非法收养_资讯频道_凤凰网 （分享自 @） ​
2013年01月05日 08:51	欲开口先问心	兰考官员指责袁厉害非法收养，请问：你们早干什么去了？你们有没有失职渎职？这究竟是袁厉害非法收养造成的悲剧，还是地方政府不作为造成的悲剧？希望河南省有关部门查一查，对责任官员不要姑息，给不明真相的草民一丝公平正义的阳光！ ​
2013年01月05日 08:51	香港文匯網	【河南兰考:未救助孤儿因无强制执法权】几年前，兰考县民政局发现袁厉害的“收养能力”有限，曾将数名儿童送到了开封市福利院，但部分儿童不愿走，由于民政局没有强制执法权，所以无法强制将孩子送福利院。 O网页链接 ​
2013年01月05日 08:51	中国钓鱼岛报	【兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事】他们没有确切的年龄，没有像样的名字，甚至还没有起名字。7个小生命逝去，心又痛了一次！谁该为这些孩子的生命负责？ O兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事_资讯频道_凤凰网 （分享自 @） ​
2013年01月05日 08:50	李景军微博	袁厉害被指常提条件 不从就闹事 O官员：袁厉害常向政府要条件 稍不从就带孩子闹事（分享自@凤凰客户端） ​
2013年01月05日 08:50	听不见的海子	袁厉害被指常提条件 不从就闹事 O官员：袁厉害常向政府要条件 稍不从就带孩子闹事（分享自@凤凰客户端） ​
2013年01月05日 08:50	我才是大醒	那些质疑河南“爱心妈妈”袁厉害的人，你们的良心都被狗吃啦吧，一个善良的女人扛起如此大的社会责任，问什么不去保护她，还要伤害她，如今出事了，我想最难过的应该就是她，那些遇难的都是她的孩子啊，兰考县政府，现在这个善良的女人已经被你们控制，请善待她！！！ ​
2013年01月05日 08:49	lily良子	河南兰考民政局：未救助孤儿因无强制执法权 O河南收养所失火7人遇难 官方称事前无权救助_新闻_腾讯网 兰考县民政局称，收养人袁厉害无收养资格，未及时救助孤儿因无强制执法权。袁厉害的亲戚称，袁小十能爬动才没有被烧死，其他几个孩子因不能走丧生。 ​
2013年01月05日 08:49	厚愛厚施	【兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事】他们没有确切的年龄，没有像样的名字，甚至还没有起名字。7个小生命逝去，心又痛了一次！谁该为这些孩子的生命负责？ O兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事_资讯频道_凤凰网 （分享自 @）充分暴露了什么叫无赖政府 ​
2013年01月05日 08:48	全民话题	【新京报社论：死于火灾的弃儿乃慈善之痛】河南兰考人袁厉害家中发生火灾，七名孩子丧生。袁厉害以收养遗弃孩童闻名，20多年来收养上百名弃婴。兰考民政局曾表示，要妥善安置这些孤儿。我们已融入现代文明，但对弃婴的收养，竟还处于如此原始自发的状态，取决于“善人”“善心”。O新京报：死于火灾的弃儿乃慈善之痛 ​
2013年01月05日 08:47	王胜军	【河南兰考民政局：未救助孤儿因无强制执法权】兰考县民政局称，收养人袁厉害无收养资格，未及时救助孤儿因无强制执法权。袁厉害的亲戚称，袁小十能爬动才没有被烧死，其他几个孩子因不能走丧生。 O河南收养所失火7人遇难 官方称事前无权救助_新闻_腾讯网 ​
2013年01月05日 08:47	老鼠爱大米331	2013年1月4日，河南兰考，火灾后，袁厉害在事故现场接受调查。据媒体公开报道，47岁的袁厉害，在兰考县人民医院门前摆摊为生，从1986年起，收养的弃婴已超过100个。袁厉害收养弃婴一事，有人质疑称袁厉害不具备收养孩子的条件，她把健康的孩子卖给愿意领养的人，也有人质疑她利用收养的孩子骗取低保。 ​
2013年01月05日 08:46	职业旅途	ZF啥时候变得这么弱势了？？——【兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事】他们没有确切的年龄，没有像样的名字，甚至还没有起名字。7个小生命逝去，心又痛了一次！谁该为这些孩子的生命负责？ O兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事_资讯频道_凤凰网 （分享自 @） ​
2013年01月05日 08:46	清华大学清新时报	早安头条【河南兰考孤儿收养所起火致7名孩童丧生】4日上午，河南省兰考县一收养孤儿和弃婴的私人场所发生火灾，造成4名孩童当场死亡，3名在送医院途中死亡。目前仍有1人在医院接受救治，事故原因正在调查中。据兰考公安部消息，该收养所创办人袁厉害已被控制，并接受警方讯问调查。（图为事故现场） ​
2013年01月05日 08:46	乐战-LeZn	如果她不收养，我想很多孩子就已经不在这个世界了! // #我在看新闻# 《收养所“爱心妈妈”袁厉害被调查》 民政局称，“爱心妈妈”袁厉害并不具备收养资格。 O网页链接 来自@腾讯新闻客户端；观看视频：O袁妈妈的弃婴之家25年收养弃婴超100赞扬质疑纠缠不清 ​
2013年01月05日 08:46	人民微博	#微头条#【兰考民政局：袁厉害不具备收养资格，对其定性是“非法收养”】 4日，兰考“爱心妈妈”袁厉害收养孩童中7人因火灾丧生。袁前后收养弃婴超百名。4日晚兰考民政局局长杨佩民称，按收养法规定，袁不具备收养资格。此前河南省民政厅对她的定性也是“非法收养”。via齐鲁晚报O兰考县民政局试图撇清责任--24小时滚动新闻--人民网 ​
2013年01月05日 08:45	Bauer_挺住	分享图片 这是在河南兰考县人袁厉害的一个住处，袁厉害从1987年开始收留残疾或有病的孩子，25年来前后收养的孩子超过100个，部分孩子因为没有足够的医疗救治而病重死去。袁厉害在当地颇为知名，老百姓、医院甚至110捡到孩子，都会送到她的家中。 ​
2013年01月05日 08:45	牧歌天下	#微观天下#据财经网：1月4日，兰考县民政局局长杨佩民表示，按照收养法的规定，袁厉害不具备收养资格。此前，河南省民政厅对她的定性也是“非法收养”。【微评： 如果职能部门没有麻痹，如果合法机构没有失职，“非法收养”还会有孩子可养吗？联想“平坟事件”，某地民政问题不小。】@周建新 @赵克罗 ​
2013年01月05日 08:45	眼前人儿	【兰考失火孤儿所创办人引争议 官方由支持变反对 网易新闻】核心提示：1月4日，河南兰考“爱心妈妈”袁厉害家中失火致7名孤儿死亡。袁厉害至2011年已收养弃婴100多人，曾在医院当勤杂工的她遇到父母将有缺陷孩子当死婴... O兰考失火孤儿所创办人引争议 官方由支持变反对_网易新闻中心 ​
2013年01月05日 08:45	何家伟1108	【河南知名私人弃婴孤儿收养所失火 致七名孤儿遇难】收养所创办人袁厉害已经被控制，并接受警方讯问调查。袁厉害以收养遗弃孩童闻名，袁在兰考县城没有固定住处，平时都和收养的孩子住在摆摊的棚子里，据知情人透露，袁厉害目前收养的弃婴和孤儿有二三十个。莫名的悲哀，难以言表的愤怒！ ​
2013年01月05日 08:45	亚瑟顽童	【河南兰考：袁厉害收养孤儿将得到妥善安置】当地政府早先在干什么？相关救济部门在干什么？一定要等出了人命才重视？真是草菅人命？ ​
2013年01月05日 08:45	中国国际救援队	【河南兰考火灾7名孤儿因不能行走殒命】1月4日8时30许，河南省兰考县收养孤儿和弃婴的“爱心妈妈”袁厉害家里发生火灾，造成7人丧生，其中6名儿童，1名成人，并有1名儿童受伤。据悉，遇难孩子都是因不能行走火中殒命。目前当事人袁厉害正在接受有关部门的调查。(@央视新闻 ) ​
2013年01月05日 08:44	古浪交警	1月4日8时30许，河南兰考县收养孤儿和弃婴的“爱心妈妈”袁厉害家里发生火灾，造成7人丧生。袁厉害的亲戚称，遇难孩子都是因不能行走火中殒命。失火时，袁厉害正在送部分孩子上学途中，因此和这几个孩子逃过一劫。 ​
2013年01月05日 08:44	漫步地球中	【河南收养家庭7名孤儿不能行走火中殒命 网易新闻】核心提示：1月4日8时30许，河南兰考县收养孤儿和弃婴的“爱心妈妈”袁厉害家里发生火灾，造成7人丧生。袁厉害的亲戚称，遇难孩子都是因不能行走火中殒命。失火时，袁... O兰考民政局：未救助孤儿因无强制执法权_网易新闻中心 ​
2013年01月05日 08:44	成都电视台幸福三频道	#签到打卡# 【河南兰考弃婴孤儿收养所失火 致7名儿童遇难】1月4日8时许，有着“爱心妈妈”之称的河南兰考人袁厉害家中发生火灾，七名孩子丧生。袁厉害以收养遗弃孩童闻名，袁在兰考县城没有固定住处，平时都和收养的孩子住在摆摊的棚子里。亲，你怎么看民办收养所 ​
2013年01月05日 08:44	青春飞扬朱泓帅	民政部门为何未救助？ 民政局无强制执法权！（强拆时就有权了！） 几年前，兰考县民政局得知事情后，发现袁厉害的“收养能力”有限，曾到袁家做工作，几年来曾将数名儿童送到了开封市福利院，但年纪大的部分儿童因为与袁感情较深，都不愿走，由于民政局没有强制执法权，所以无法强制将孩子送走。 ​
2013年01月05日 08:43	老鼠爱大米331	这是1月4日拍摄的发生事故的房屋。兰考县民政局局长杨佩民称，2011年9月9日，县民政局等多家单位联合行动，对遗弃儿童进行救助，由于“花园”条件差，将这里的孩子迁出。通过做袁厉害的工作，并将其中的五个送往开封市福利院，剩下的儿童由于袁厉害不同意送走，于是都迁到袁厉害家中住。 ​
2013年01月05日 08:43	钢牙老马	凤凰网《兰考官员：袁厉害常向政府要条件 稍不从就带孩子闹事》，又是孩子的事情，我们不禁要问：这是一起什么性质的事件？一方责任还是多方责任？什么样的责任？O兰考官员：袁厉害常向...于建嵘 @隆裕她妹 ​
2013年01月05日 08:43	云关注	【河南收养家庭7名孤儿不能行走火中殒命】河南兰考县收养孤儿和弃婴的“爱心妈妈”袁厉害家里发生火灾，造成7人丧生。袁厉害的亲戚称，遇难孩子都是因不能行走火中殒命。失火时，袁厉害正在送部分孩子上学途中，因此和这几个孩子逃过一劫。袁厉害目前正在接受有关部门的调查。 O兰考民政局：未救助孤儿因无强制执法权_网易新闻中心 ​
